NUTS3,City,Plaka,M_2020,gdp_pc20,Def_18,Def_19,Def_20,lnM_20,lngdp_pc20,AKP_18,HDP_18,CHP_18,Mosq,growt_pc18,lngdp_pc18,lnM_18
TRA23,Igdir,76,13048.00,5420.00,205.96,241.37,276.48,9.48,8.60,20.72,44.23,1.74,129.14,8.10,8.63,9.97
TRA24,Ardahan,75,158.00,6589.00,215.79,250.45,286.13,5.06,8.79,37.15,23.38,29.03,281.07,4.87,8.64,0.00
TRB11,Malatya,44,114404.00,5234.00,212.65,242.73,278.61,11.65,8.56,53.87,7.02,15.33,122.08,2.69,8.59,11.54
TRB12,Elazig,23,26250.00,5929.00,215.91,246.84,285.25,10.18,8.69,54.54,10.09,6.02,167.38,3.39,8.69,10.03
TRB13,Bingöl,12,952.00,4724.00,218.66,250.83,288.64,6.86,8.46,55.28,26.80,1.45,220.84,1.18,8.47,6.90
TRB14,Tunceli,62,135.00,8559.00,217.93,251.82,286.50,4.91,9.05,14.71,51.03,28.23,106.58,2.75,9.01,4.53
TRB21,Van,65,18091.00,3140.00,212.72,245.00,278.66,9.80,8.05,31.77,59.32,1.46,126.18,1.50,8.13,11.33
TRB22,Mus,49,111663.00,4074.00,208.74,240.48,274.19,11.62,8.31,32.43,54.44,1.33,150.49,4.25,8.33,7.22
TRB23,Bitlis,13,1333.00,3883.00,213.68,246.22,281.50,7.20,8.26,44.82,42.54,2.76,206.93,2.02,8.23,8.07
TRB24,Hakkari,30,37135.00,5101.00,217.20,250.68,284.17,10.52,8.54,20.07,70.16,1.22,168.95,14.08,8.47,10.55
TRC11,Gaziantep,27,5276938.00,6763.00,223.21,253.29,291.57,15.48,8.82,51.45,11.88,16.25,51.56,5.31,8.88,15.40
TRC12,Adiyaman,2,67091.00,3809.00,214.38,245.25,278.07,11.11,8.25,55.10,15.41,11.25,124.42,3.81,8.47,10.77
TRC13,Kilis,79,50794.00,5045.00,211.20,243.03,278.46,10.84,8.53,50.83,2.30,12.16,156.45,1.21,8.57,11.08
TRC21,Sanliurfa,63,231523.00,2901.00,210.59,243.09,278.05,12.35,7.97,52.67,28.94,2.70,100.11,0.07,8.14,11.91
TRC22,Diyarbakir,21,104696.00,3843.00,211.37,242.03,274.93,11.56,8.25,21.46,65.58,1.56,118.22,0.66,8.37,11.17
TRC31,Mardin,47,327557.00,5040.00,209.14,240.36,277.34,12.70,8.53,30.43,59.34,1.35,140.74,8.32,8.50,11.93
TRC32,Batman,72,42537.00,3721.00,224.73,254.44,283.30,10.66,8.22,24.91,62.09,1.19,115.01,5.48,8.38,11.14
TRC33,Sirnak,73,60877.00,4769.00,211.02,242.19,277.35,11.02,8.47,18.19,70.24,1.07,101.87,9.80,8.47,10.75
TRC34,Siirt,56,13887.00,4386.00,214.55,246.07,277.78,9.54,8.39,38.97,51.07,1.65,194.77,2.35,8.35,10.61
